Pantai,Kecamatan,Kabupaten_Kota,latitude,longitude,Luas_Air_2026_Ha,Sehat_2026_Ha,Sedang_2026_Ha,TidakSehat_2026_Ha,Pct_Sehat_2026,Pct_Sedang_2026,Pct_TidakSehat_2026,Mean_NDTI_2026,Mean_NDCI_2026,Mean_TSS_2026,Mean_CDOM_2026,Status_Kualitas_2026,Luas_Air_2017_Ha,Sehat_2017_Ha,Pct_Sehat_2017,Mean_NDTI_2017,Mean_NDCI_2017,Status_Kualitas_2017,Delta_Pct_Sehat,Tren_Kualitas,industri_terdekat,tipe_industri,jarak_industri_km,industri_terdekat_2,tipe_industri_2,jarak_industri_2_km,industri_terdekat_3,tipe_industri_3,jarak_industri_3_km,industri_relevan_terdekat,tipe_industri_relevan,jarak_industri_relevan_km,relevansi_industri,jumlah_industri_radius_10km,kepadatan_industri,total_relevansi_radius,indeks_dampak_industri,kategori_dampak_industri,kepadatan_penduduk_kecamatan,indeks_pengaruh_urban,penjelasan_kualitas
Pantai Anyer,Anyar,Serang,-6.0465,105.885,323.91,20.88,4.05,298.98,6.4,1.3,92.3,0.1405,0.0375,0.7622,0.832,TIDAK SEHAT,329.58,63.63,19.3,0.0848,0.0516,TIDAK SEHAT,-12.9,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,8.39,PT Banten Energy,Energi,9.95,PT Chandra Asri Petrochemical,Petrokimia,13.59,Pelabuhan Ciwandan,Pelabuhan/Logistik,8.39,0.5,2,0.0064,1.2,21.63,SEDANG,800.0,12.4,"Kualitas air di Pantai Anyer (Anyar) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1405) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **8.39 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Carita,Carita,Pandeglang,-6.1305,105.8427,328.77,0.99,0.0,327.78,0.3,0.0,99.7,0.3347,0.0255,0.5147,0.8232,TIDAK SEHAT,326.43,17.91,5.5,0.1276,0.0445,TIDAK SEHAT,-5.2,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,16.76,PT Banten Energy,Energi,17.45,PT Lotte Chemical Indonesia,Kimia,21.17,Pelabuhan Ciwandan,Pelabuhan/Logistik,16.76,0.5,0,0.0,0.0,9.61,RENDAH,550.0,11.52,Kualitas air di Pantai Carita (Carita) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3347) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Ciwandan (Pelabuhan/Logistik) berjarak **16.76 km** dengan kategori dampak **RENDAH**.
Pantai Tanjung Lesung,Panimbang,Pandeglang,-6.4785,105.6565,202.86,3.87,0.0,198.99,1.9,0.0,98.1,0.2385,0.0269,0.622,0.9094,TIDAK SEHAT,208.62,32.49,15.6,0.0789,0.0641,TIDAK SEHAT,-13.7,MEMBURUK,PLTU Labuan (Banten 2),Pembangkit Listrik,21.79,Pelabuhan Ciwandan,Pelabuhan/Logistik,59.64,PT Banten Energy,Energi,59.69,PLTU Labuan (Banten 2),Pembangkit Listrik,21.79,0.7,0,0.0,0.0,0.89,SANGAT RENDAH,300.0,5.03,Kualitas air di Pantai Tanjung Lesung (Panimbang) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.2385) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PLTU Labuan (Banten 2) (Pembangkit Listrik) berjarak **21.79 km** dengan kategori dampak **RENDAH**.
Pantai Sawarna,Bayah,Lebak,-6.993,106.318,185.67,1.8,1.17,182.7,1.0,0.6,98.4,0.3341,-0.0798,0.5113,1.0046,TIDAK SEHAT,184.14,2.25,1.2,0.1343,0.0091,TIDAK SEHAT,-0.2,STABIL,PT Indocement Tunggal Prakarsa (Bayah),Semen,7.99,PLTU Labuan (Banten 2),Pembangkit Listrik,88.94,Pelabuhan Perikanan Karangantu,Perikanan,108.21,PT Indocement Tunggal Prakarsa (Bayah),Semen,7.99,0.6,1,0.0032,0.6,2.57,SANGAT RENDAH,350.0,0.24,"Kualitas air di Pantai Sawarna (Bayah) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3341) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri PT Indocement Tunggal Prakarsa (Bayah) (Semen) dalam radius **7.99 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Bagedur,Malingping,Lebak,-6.9038,106.0125,330.93,0.0,0.0,330.93,0.0,0.0,100.0,0.3763,-0.0499,0.4637,0.681,TIDAK SEHAT,327.96,196.65,60.0,0.044,0.0233,SEHAT,-60.0,MEMBURUK,PT Indocement Tunggal Prakarsa (Bayah),Semen,27.8,PLTU Labuan (Banten 2),Pembangkit Listrik,63.54,PT Banten Energy,Energi,95.58,PT Indocement Tunggal Prakarsa (Bayah),Semen,27.8,0.6,0,0.0,0.0,0.37,SANGAT RENDAH,700.0,0.55,Kualitas air di Pantai Bagedur (Malingping) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3763) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PT Indocement Tunggal Prakarsa (Bayah) (Semen) berjarak **27.8 km** dengan kategori dampak **RENDAH**.
Pantai Karang Bolong,Cinangka,Serang,-6.1082,105.8569,329.94,40.95,1.26,287.73,12.4,0.4,87.2,0.1691,0.052,0.7203,0.8585,TIDAK SEHAT,330.21,40.32,12.2,0.1222,0.0449,TIDAK SEHAT,0.2,STABIL,Pelabuhan Ciwandan,Pelabuhan/Logistik,14.01,PT Banten Energy,Energi,14.83,PT Lotte Chemical Indonesia,Kimia,18.64,Pelabuhan Ciwandan,Pelabuhan/Logistik,14.01,0.5,0,0.0,0.0,12.33,RENDAH,450.0,11.7,"Kualitas air di Pantai Karang Bolong (Cinangka) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1691) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **14.01 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Ciputih,Sumur,Pandeglang,-6.6575,105.518,330.12,10.71,17.37,302.04,3.2,5.3,91.5,0.0725,-0.045,0.8654,0.8306,TIDAK SEHAT,314.37,248.76,79.1,0.036,0.044,SEHAT,-75.9,MEMBURUK,PLTU Labuan (Banten 2),Pembangkit Listrik,46.36,Pelabuhan Ciwandan,Pelabuhan/Logistik,84.72,PT Banten Energy,Energi,84.79,PLTU Labuan (Banten 2),Pembangkit Listrik,46.36,0.7,0,0.0,0.0,0.08,SANGAT RENDAH,90.0,0.99,Kualitas air di Pantai Ciputih (Sumur) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.0725) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PLTU Labuan (Banten 2) (Pembangkit Listrik) berjarak **46.36 km** dengan kategori dampak **RENDAH**.
Pantai Pulau Umang,Sumur,Pandeglang,-6.64065,105.58436,325.08,2.52,0.0,322.56,0.8,0.0,99.2,0.2545,0.0104,0.5979,0.9394,TIDAK SEHAT,325.89,154.44,47.4,0.0557,0.0421,TIDAK SEHAT,-46.6,MEMBURUK,PLTU Labuan (Banten 2),Pembangkit Listrik,39.99,PT Banten Energy,Energi,79.06,Pelabuhan Ciwandan,Pelabuhan/Logistik,79.11,PLTU Labuan (Banten 2),Pembangkit Listrik,39.99,0.7,0,0.0,0.0,0.14,SANGAT RENDAH,90.0,1.51,Kualitas air di Pantai Pulau Umang (Sumur) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.2545) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PLTU Labuan (Banten 2) (Pembangkit Listrik) berjarak **39.99 km** dengan kategori dampak **RENDAH**.
Pantai Sambolo,Anyar,Serang,-6.0712,105.8812,239.85,37.71,0.45,201.69,15.7,0.2,84.1,0.1461,0.0569,0.7533,0.8563,TIDAK SEHAT,246.24,112.23,45.6,0.0579,0.0592,TIDAK SEHAT,-29.9,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,9.6,PT Banten Energy,Energi,10.77,PT Lotte Chemical Indonesia,Kimia,14.71,Pelabuhan Ciwandan,Pelabuhan/Logistik,9.6,0.5,1,0.0032,0.5,18.75,SEDANG,800.0,12.49,"Kualitas air di Pantai Sambolo (Anyar) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1461) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **9.6 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Pasir Putih Sirih,Anyar,Serang,-6.0825,105.8805,212.58,5.04,0.27,207.27,2.4,0.1,97.5,0.2081,0.0623,0.6616,0.8525,TIDAK SEHAT,215.28,83.52,38.8,0.0628,0.0589,TIDAK SEHAT,-36.4,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,10.26,PT Banten Energy,Energi,11.25,PT Lotte Chemical Indonesia,Kimia,15.15,Pelabuhan Ciwandan,Pelabuhan/Logistik,10.26,0.5,0,0.0,0.0,17.54,SEDANG,800.0,12.58,"Kualitas air di Pantai Pasir Putih Sirih (Anyar) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.2081) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **10.26 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
