Kabupaten_Kota,Kecamatan,centroid_latitude,centroid_longitude,industri_terdekat,tipe_industri,jarak_industri_km,industri_terdekat_2,tipe_industri_2,jarak_industri_2_km,industri_terdekat_3,tipe_industri_3,jarak_industri_3_km,industri_relevan_terdekat,tipe_industri_relevan,jarak_industri_relevan_km,relevansi_industri,jumlah_industri_radius_10km,kepadatan_industri,total_relevansi_radius,indeks_dampak_industri,kategori_dampak_industri,kepadatan_penduduk_kecamatan,indeks_pengaruh_urban,penjelasan_kualitas
Cilegon,Cibeber,-6.043111,106.058757,PT Lotte Chemical Indonesia,Kimia,5.42,PT Asahimas Chemical,Kimia,5.51,PT Sulfindo Adiusaha,Kimia,6.42,PT Lotte Chemical Indonesia,Kimia,5.42,1.0,6,0.0191,5.6,36.82,TINGGI,2500.0,23.99,"Kawasan pesisir di Kecamatan Cibeber dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **2,500 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (23.99/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **36.82/100** (kategori **TINGGI**) dengan 6 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah PT Lotte Chemical Indonesia berjarak **5.42 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Cilegon,Citangkil,-6.014606,106.010489,PT Sulfindo Adiusaha,Kimia,0.28,PT Chandra Asri Petrochemical,Petrokimia,0.85,PT Asahimas Chemical,Kimia,1.09,PT Sulfindo Adiusaha,Kimia,0.28,1.0,9,0.0286,7.5,59.16,SANGAT TINGGI,2200.0,25.01,"Kawasan pesisir di Kecamatan Citangkil dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **2,200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (25.01/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **59.16/100** (kategori **SANGAT TINGGI**) dengan 9 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah PT Sulfindo Adiusaha berjarak **0.28 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Cilegon,Ciwandan,-6.031094,105.967279,Pelabuhan Ciwandan,Pelabuhan/Logistik,0.91,PT Banten Energy,Energi,1.77,PT Chandra Asri Petrochemical,Petrokimia,4.35,Pelabuhan Ciwandan,Pelabuhan/Logistik,0.91,0.5,8,0.0255,7.0,47.44,TINGGI,1100.0,19.5,"Kawasan pesisir di Kecamatan Ciwandan dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **1,100 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (19.50/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **47.44/100** (kategori **TINGGI**) dengan 8 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah Pelabuhan Ciwandan berjarak **0.91 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Cilegon,Grogol,-5.971752,106.01866,PT Indah Kiat Pulp & Paper (Merak),Pulp & Paper,2.78,PT Krakatau Steel,Baja/Logam,3.7,PT Asahimas Chemical,Kimia,4.48,PT Indah Kiat Pulp & Paper (Merak),Pulp & Paper,2.78,0.9,11,0.035,8.9,47.55,TINGGI,1300.0,19.49,"Kawasan pesisir di Kecamatan Grogol dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **1,300 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (19.49/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **47.55/100** (kategori **TINGGI**) dengan 11 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah PT Indah Kiat Pulp & Paper (Merak) berjarak **2.78 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Cilegon,Jombang,-6.010072,106.061569,PT Asahimas Chemical,Kimia,4.6,PT Krakatau Steel,Baja/Logam,5.21,PT Sulfindo Adiusaha,Kimia,5.95,PT Asahimas Chemical,Kimia,4.6,1.0,6,0.0191,5.8,39.04,TINGGI,4500.0,22.67,"Kawasan pesisir di Kecamatan Jombang dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **4,500 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (22.67/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **39.04/100** (kategori **TINGGI**) dengan 6 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah PT Asahimas Chemical berjarak **4.60 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Cilegon,Pulomerak,-5.921117,106.010137,Pelabuhan Merak,Pelabuhan,1.91,PT Indah Kiat Pulp & Paper (Merak),Pulp & Paper,3.93,PT Indonesia Power Suralaya,Energi,7.26,Pelabuhan Merak,Pelabuhan,1.91,0.5,5,0.0159,3.7,35.21,TINGGI,1800.0,13.6,"Kawasan pesisir di Kecamatan Pulomerak dinilai memiliki **TEKANAN LINGKUNGAN TINGGI**. Tingginya aktivitas industri dan/atau kepadatan pemukiman urban di wilayah ini memberikan kontribusi polutan antropogenik yang signifikan ke perairan pesisir. Wilayah ini memiliki kepadatan penduduk **1,800 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (13.60/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri di wilayah ini **35.21/100** (kategori **TINGGI**) dengan 5 fasilitas industri dalam radius 10 km. Industri paling relevan terhadap pencemaran air adalah Pelabuhan Merak berjarak **1.91 km**. Tekanan kumulatif industri terhadap kualitas perairan sangat signifikan."
Kota Serang,Kasemen,-6.062136,106.18028,Pelabuhan Perikanan Karangantu,Perikanan,3.64,PT Asahimas Chemical,Kimia,18.58,PT Lotte Chemical Indonesia,Kimia,19.02,PT Asahimas Chemical,Kimia,18.58,1.0,1,0.0032,0.3,11.81,RENDAH,1200.0,21.39,"Kawasan pesisir di Kecamatan Kasemen diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (21.39/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **11.81/100** (RENDAH). Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **3.64 km** dengan dampak relatif rendah terhadap kualitas air."
Lebak,Bayah,-6.909335,106.299045,PT Indocement Tunggal Prakarsa (Bayah),Semen,6.25,PLTU Labuan (Banten 2),Pembangkit Listrik,80.46,Pelabuhan Perikanan Karangantu,Perikanan,98.7,PT Indocement Tunggal Prakarsa (Bayah),Semen,6.25,0.6,1,0.0032,0.6,3.06,SANGAT RENDAH,350.0,0.44,Kawasan pesisir di Kecamatan Bayah diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **350 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.44/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**3.06/100**). Industri terdekat (PT Indocement Tunggal Prakarsa (Bayah)) berjarak **6.25 km** — dampak industri terhadap kualitas air sangat minimal.
Lebak,Cihara,-6.839636,106.127101,PT Indocement Tunggal Prakarsa (Bayah),Semen,19.13,PLTU Labuan (Banten 2),Pembangkit Listrik,62.76,PT Banten Energy,Energi,89.94,PT Indocement Tunggal Prakarsa (Bayah),Semen,19.13,0.6,0,0.0,0.0,0.86,SANGAT RENDAH,180.0,0.82,Kawasan pesisir di Kecamatan Cihara diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **180 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.82/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.86/100**). Industri terdekat (PT Indocement Tunggal Prakarsa (Bayah)) berjarak **19.13 km** — dampak industri terhadap kualitas air sangat minimal.
Lebak,Cilograng,-6.923037,106.374606,PT Indocement Tunggal Prakarsa (Bayah),Semen,13.0,PLTU Labuan (Banten 2),Pembangkit Listrik,87.27,Pelabuhan Perikanan Karangantu,Perikanan,101.73,PT Indocement Tunggal Prakarsa (Bayah),Semen,13.0,0.6,0,0.0,0.0,1.56,SANGAT RENDAH,150.0,0.36,Kawasan pesisir di Kecamatan Cilograng diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **150 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.36/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**1.56/100**). Industri terdekat (PT Indocement Tunggal Prakarsa (Bayah)) berjarak **13.00 km** — dampak industri terhadap kualitas air sangat minimal.
Lebak,Malingping,-6.752439,106.004818,PT Indocement Tunggal Prakarsa (Bayah),Semen,35.72,PLTU Labuan (Banten 2),Pembangkit Listrik,47.67,PT Banten Energy,Energi,78.73,PT Indocement Tunggal Prakarsa (Bayah),Semen,35.72,0.6,0,0.0,0.0,0.24,SANGAT RENDAH,700.0,1.55,Kawasan pesisir di Kecamatan Malingping diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **700 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (1.55/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.24/100**). Industri terdekat (PT Indocement Tunggal Prakarsa (Bayah)) berjarak **35.72 km** — dampak industri terhadap kualitas air sangat minimal.
